Website,Agency,Bureau,Office,Description
apps-garfo.fisheries.noaa.gov,Department of Commerce,NOAA,,Hosts multiple apps that support regulatory compliance and transactions and required data access and analysis.
apps-pifsc.fisheries.noaa.gov,Department of Commerce,NOAA,,"Provides public access to nonconfidential commercial fisheries data and visualizations for the Pacific Islands Region, supporting management, research, and stakeholder engagement."
apps-sefsc.fisheries.noaa.gov,Department of Commerce,NOAA,,"Hosts tools that support the collection, management, and sharing of fisheries-dependent data across the Southeast Region."
archive.fisheries.noaa.gov,Department of Commerce,NOAA,,Fisheries archive
archive.oceanexplorer.noaa.gov,Department of Commerce,NOAA,,Archived version of oceanexplorer.noaa.gov; fulfills records management requirements and allows users continued access older content following migration of active office site to WordPress
arctic.noaa.gov,Department of Commerce,NOAA,,"Supports Section 508 and Open Gov mandates, advancing transparency, accessibility, and public engagement. Mandated by America Competes Reauthorization 42 U.S.C. § 6681"
arl.noaa.gov,Department of Commerce,NOAA,,"Introducing ARL's major research areas, news, publications, and HYSPLIT information to the public, researchers, and responders, etc."
atlhmscatchshares.fisheries.noaa.gov,Department of Commerce,NOAA,,"Mandated for Atlantic HMS Bluefin Tuna quota compliance, this system allows users to manage individualized allocations, landings, and reports, with integrated permit, VMS, and monitoring capabilities."
aviationweather.gov,Department of Commerce,NOAA,,Provides critical aviation weather information generated by the Aviation Weather Center and regional Center Weather Service Units both visually and via an API.
beaconregistration.noaa.gov,Department of Commerce,NOAA,,"Real-time emergency distress register. Allows the public to register 406 MHz emergency distress beacons (ships, planes, persons) as required by law. More efficient than mail or phone registration."
beta.ngs.noaa.gov,Department of Commerce,NOAA,,Enhances National Spatial Reference System development providing geodetic tools & data for positioning.  Ensures accuracy and cost effective solutions for nation's mapping and infrastructure needs.  
beta.weather.gov,Department of Commerce,NOAA,,Where the beta version of a new weather.gov is being iteratively developed and public feedback collected.
bigsouthfork.atdd.noaa.gov,Department of Commerce,NOAA,,"Hyperlocal met data (Big South Fork Sonic Wind Anemometer Data) for the public, researchers, and forecasters
"
blog.marinedebris.noaa.gov,Department of Commerce,NOAA,,A web-based tool supporting NOAA’s disaster and pollution preparedness and response work. Provides updates on and reporting for Marine Debris Program activities and projects.
blog.response.restoration.noaa.gov,Department of Commerce,NOAA,,A web-based tool supporting NOAA’s disaster and pollution preparedness and response work. Provides updates on and reporting for OR&R's mission activities to address a range of hazards.
boulder.noaa.gov,Department of Commerce,NOAA,,"Mandated by the America COMPETES Act, this site provides efficient, non-duplicative access to all NOAA Boulder Line Offices, reducing redundancy while advancing STEM, innovation, and public research"
buoybay.noaa.gov,Department of Commerce,NOAA,,"Chesapeake Bay real-time meteorological, oceanographic, and water-quality data. Data are used by scientists, meteorologists, boaters, fishermen, and more. "
bycatchreporting.fisheries.noaa.gov,Department of Commerce,NOAA,,"NMFS implements congressionally mandated programs for protected species and bycatch in international fisheries, administered through the International Affairs Information Capture and Reporting System."
cafe.orr.noaa.gov,Department of Commerce,NOAA,,"A database supporting NOAA’s disaster and pollution preparedness and response staff and user community. Provides data on the fate and effects of chemicals, oils, and dispersants in aquatic ecosystems."
california-mdc.diver.orr.noaa.gov,Department of Commerce,NOAA,,A web-based tool supporting NOAA’s disaster and pollution preparedness and response staff and user community. Provides a collaboration space for marine debris stakeholders in California.
cameo.noaa.gov,Department of Commerce,NOAA,,Describes a suite of hazardous materials response and planning tools that work interactively to help first responders and emergency planners get critical information quickly and easily.
cameochemicals.noaa.gov,Department of Commerce,NOAA,,"A database of thousands of hazardous chemical datasheets that emergency responders and planners use to get critical response information and predict hazards, such as explosions or toxic fumes."
campcreek.atdd.noaa.gov,Department of Commerce,NOAA,,"Hyperlocal met data (Camp Creek Prop Wind Monitor Data) for the public and researchers, and forecasters"
cams.nssl.noaa.gov,Department of Commerce,NOAA,,Displays state-of-the-art experimental severe weather forecast data in real-time for critical decision support. Enables accountability & public feedback. 
carbontracker.noaa.gov,Department of Commerce,NOAA,,"In support of U.S. statutory requirements, GML's website provides data and information on physical quantities, such as greenhouse gases, ozone, radiation, and aerosols, influencing the Earth system."
carto.bldc.nwave.noaa.gov,Department of Commerce,NOAA,,"WorldView is an interactive, real-time network visualization system providing a map-based view of NOAA NWave and XWave network connectivity."
carto.ctc.nwave.noaa.gov,Department of Commerce,NOAA,,"WorldView is an interactive, real-time network visualization system providing a map-based view of NOAA NWave and XWave network connectivity."
carto.nwave.noaa.gov,Department of Commerce,NOAA,,"WorldView is an interactive, real-time network visualization system providing a map-based view of NOAA NWave and XWave network connectivity."
cbexapp.noaa.gov,Department of Commerce,NOAA,,"Interactive Chesapeake Bay education courses about science and data; information about upcoming workshops and resources, for K-12 educators. "
cbrfc.noaa.gov,Department of Commerce,NOAA,,"Home page for the Colorado Basin River Forecast Center, serving river forecast information. "
cbwofs.nssl.noaa.gov,Department of Commerce,NOAA,,"Tool that allows NWS forecasters to schedule and receive dynamically updating, real-time Warn-on-Forecast System predictions that make weather warnings earlier and more precise."
cdhc.noaa.gov,Department of Commerce,NOAA,,"A network of coral health professionals provide efficient access to scientific information, educational materials, and tools to help coastal managers protect and restore healthy coral reef ecosystems"
celebrating200years.noaa.gov,Department of Commerce,NOAA,,"Developed in 2007 for NOAA's 200th celebration, this website highlighted NOAA's rich history of science, service, and stewardship provided to the American public. Site is no longer updated."
certificate.seafoodinspection.nmfs.noaa.gov,Department of Commerce,NOAA,,The Seafood Inspection Program's Verification system provides for online verifications of completed certificates issued by the Seafood Inspection Program.
cfs.ncep.noaa.gov,Department of Commerce,NOAA,,"Home for Climate Forecast System (CFS), which is managed by the National Centers for Environmental Prediction. Provides climate prediction data and model output for both researchers and forecasters."
channelislands.noaa.gov,Department of Commerce,NOAA,,"Mandated by the National Marine Sanctuaries Act to enhance public awareness, understanding and appreciation of the marine environment, this site provides vital information for the tax paying public."
charts.noaa.gov,Department of Commerce,NOAA,,"Provides chart download files in a cloud-based, machine readable format for navigation systems used by the entire maritime community (commercial mariners, USCG/Navy/USACE, boaters) to display charts"
ci.noaa.gov,Department of Commerce,NOAA,,America COMPETES Act SEC 4002(a) and other mandates specify that NOAA “shall enhance public awareness and understanding of ocean and atmospheric science.” OAR websites are the primary tool for this.
class.noaa.gov,Department of Commerce,NOAA,,Historical satellite datasets applicable to all US economic sectors for public and government partners to use without fees.
clearinghouse.marinedebris.noaa.gov,Department of Commerce,NOAA,,"A web-based tool supporting NOAA’s disaster and pollution preparedness and response staff and user community. A federal marine debris information clearinghouse, as mandated by the Marine Debris Act."
climate.gov,Department of Commerce,NOAA,,"Climate.gov offers science data, information, and tools to support adaptation, mitigation, and informed decision-making for the public and private sectors."
cmist.noaa.gov,Department of Commerce,NOAA,,C-MIST is designed to process and visualize NOAA's current meter data. It also serves as a public data access portal for current meter data and allows for users to generate custom analyses and plots. 
coast.noaa.gov,Department of Commerce,NOAA,,"Delivers authoritative economic and geospatial data and visualization/decision tools from 900+ organizations to communities, programs, and private sector, as required by the Digital Coast Act."
coastaloceanmodels.noaa.gov,Department of Commerce,NOAA,,"Provides storm surge models and operational forecasts via data and apps to National Weather Service and other coastal/maritime safety agencies, enabling accurate forecasting in U.S. coastal regions"
coastalscience.noaa.gov,Department of Commerce,NOAA,,"Premier source for NOAA’s coastal ocean data, communicates information & HAB and pathogen forecasts that coastal managers need to make decisions to protect community, economic & ecosystem health"
coastwatch.glerl.noaa.gov,Department of Commerce,NOAA,,"Provides critical Great Lakes observations on ice cover, lake temperatures, and algae to inform marine transportation, HAB forecasts, search and rescue operations, weather forecasts, etc."
coastwatch.noaa.gov,Department of Commerce,NOAA,,"Provide satellite ocean data to government and non-government partners, inlcuding in the commerical sector. "
coastwatch.pfeg.noaa.gov,Department of Commerce,NOAA,,"Provides access, tools, and training to use NOAA ocean satellite data, including ecosystem indicators, habitat models for endangered species, and harmful algal bloom forecasts."
codes.nws.noaa.gov,Department of Commerce,NOAA,,"One purpose of this Service is to support the new data exchange standard developed by WMO in support of Amendment 76 to ICAO Annex 3 ""Meteorological Services for International Air Navigation"". "
coralreef.noaa.gov,Department of Commerce,NOAA,,"Distributes, on a public website, the data sets, documents and reports of the Coral Program as required by the Coral Reef Conservation Act of 2000 16 U.S.C. § 6402, § 6403, and § 6404"
coralreefwatch.noaa.gov,Department of Commerce,NOAA,,"Provides access to the global early-warning system for coral reef health, which is necessary for understanding essential fisheries and tourism and protecting coasts from erosion and tropical storms."
cordellbank.noaa.gov,Department of Commerce,NOAA,,"Mandated by the National Marine Sanctuaries Act to enhance public awareness, understanding and appreciation of the marine environment, this site provides vital information for the tax paying public."
coris.noaa.gov,Department of Commerce,NOAA,,"Timed out multiple time.  Distributes, on a public website, the data sets, documents and reports of the Coral Program as required by the Coral Reef Conservation Act of 2000 16 U.S.C. § 6402, § 6403, and § 6404"
councils.fisheries.noaa.gov,Department of Commerce,NOAA,,"Supports Regional Fishery Managment Council appointments, which are mandated by law, by enabling online material completion and submission and agency review and coordination of the process."
cpc.ncep.noaa.gov,Department of Commerce,NOAA,,Homepage of the NWS Climate Prediction Center for provision of their forecast products. More in Q11
cpo.noaa.gov,Department of Commerce,NOAA,,"The CPO website shares info about our annual competitive grants, and our work in climate science & services research & development; for peer communities & the public."
csl.noaa.gov,Department of Commerce,NOAA,,Non-duplicative public information on (i) federally funded activities mandated by the Weather Act & Congress. appropriations and (ii) public access to NOAA atmospheric composition data (NAO 212-15B).
cwcaribbean.aoml.noaa.gov,Department of Commerce,NOAA,,"Gateway to the NOAA CoastWatch Caribbean and Gulf of America Regional Node, providing near real-time satellite oceanographic data for researchers across the nation."
cwcgom.aoml.noaa.gov,Department of Commerce,NOAA,,NOAA AOML Atlantic OceanWatch portal offering satellite data products and visualization tools to support research and operations.
darrp.noaa.gov,Department of Commerce,NOAA,,"A web-based tool that provides notice and solicit public input at key NRDA steps, including NOI’s, draft plans, proposed settlements, etc., as required under OPA, CERCLA, & NMSA laws and regulations."
data.noaa.gov,Department of Commerce,NOAA,,"NOAA's catalog search/discovery site for environmental data that helps decision-makers address challenges in agriculture, transportation, retail, energy, finance, and infrastructure sectors."
data.nssl.noaa.gov,Department of Commerce,NOAA,,Addresses the PARR Memorandum from 2013 and is also used for controlled data access to collaborators working with NSSL. Allows compliance with open data policies.
data.pmel.noaa.gov,Department of Commerce,NOAA,,Serves publicly accessible tax-payer funded environmental data as required by the Evidence Act and Geospatial Data Act.
data1.gfdl.noaa.gov,Department of Commerce,NOAA,,"Provides Earth system model data and documentation to support stakeholders in decision-making and solutions for a safer, more prosperous America."
dcs1.noaa.gov,Department of Commerce,NOAA,,"Provides communication and data management to NOAA satellite users, including information relied on by decision makers for emergency response."
dcs2.noaa.gov,Department of Commerce,NOAA,,"Provides communication and data management to NOAA satellite users, including information relied on by decision makers for emergency response."
dcs3.noaa.gov,Department of Commerce,NOAA,,"Provides communication and data management to NOAA satellite users, including information relied on by decision makers for emergency response."
dcs4.noaa.gov,Department of Commerce,NOAA,,"Provides communication and data management to NOAA satellite users, including information relied on by decision makers for emergency response."
deepseacoraldata.noaa.gov,Department of Commerce,NOAA,,"Site provides information about the Deep Sea Coral Research and Technology Program, its studies, and results used to make resource management decisions about these habitats and fisheries they support."
dengueforecasting.noaa.gov,Department of Commerce,NOAA,,This site is no longer being maintained. 
digital.weather.gov,Department of Commerce,NOAA,,Graphical display of National Digital Forecast Database (NDFD) forecast information. 
discover.library.noaa.gov,Department of Commerce,NOAA,,20 USC 91: Literary and scientific collections accessible to investigators and students. Main Library System
distribution.charts.noaa.gov,Department of Commerce,NOAA,,"Provides required record of nautical chart updates to the entire maritime community (commercial mariners, USCG/Navy/USACE, rec boaters), must be separate domain to link with the software we use"
diver.orr.noaa.gov,Department of Commerce,NOAA,,"A web-based data tool supporting NOAA’s disaster and pollution preparedness and response efforts. Provides public access to data and analysis for public, Federal, State and Local agencies."
dods.ndbc.noaa.gov,Department of Commerce,NOAA,,Provision of National Data Buoy Center information via the Distributed Oceanographic Data Systems (DODS) framework
drought.gov,Department of Commerce,NOAA,,"Provides data, maps, and resources on drought critical to the agricultural sector and other public and private users.Mandated by NIDIS P.L. 109-430, 113-86, 115-423: "
dsfa.nmfs.noaa.gov,Department of Commerce,NOAA,,"This website allows Seafood Inspection Program personnel to conduct SIP business, including scheduling inspections, issuing export certificates, and charging for services. "
eastcoast.coastwatch.noaa.gov,Department of Commerce,NOAA,,"Provide satellite ocean data specialized for the US East Coast cruicial to navigation, commerce and understanding coastal economies."
ecofoci.noaa.gov,Department of Commerce,NOAA,,"This website serves an overview and contact information about the EcoFOCI program and its researchers. It lists all manuscripts, and points to the data resources collected over the last 40 years. "
ecowatch.noaa.gov,Department of Commerce,NOAA,,"Information crucial for monitoring US marine and Great Lakes ecosystem status, which support coastal economies."
eeo.oar.noaa.gov,Department of Commerce,NOAA,,America COMPETES Act SEC 4002(a) and other mandates specify that NOAA “shall enhance public awareness and understanding of ocean and atmospheric science.” OAR websites are the primary tool for this.
emc.ncep.noaa.gov,Department of Commerce,NOAA,,"Homepage for the NWS Environmental Modeling Center (EMC). EMC role is to maintain, enhance and transition-to-operations numerical guidance systems for the Nation's weather/water/climate enterprise"
encdirect.noaa.gov,Department of Commerce,NOAA,,"Provides nautical chart search and downloads in a GIS format to the maritime community (commercial mariners, Coast Guard/Navy/USACE, boaters), must be separate domain to link with the software we use"
erma.noaa.gov,Department of Commerce,NOAA,,Landing page for the Common Operating Picture providing data access for emergency response and environmental incidents. Public access to health and safety data under multiple federal mandates.
esrl.noaa.gov,Department of Commerce,NOAA,,"directory page for the NOAA Research laboratories in Boulder, CO"
exemptedhmspermits.fisheries.noaa.gov,Department of Commerce,NOAA,,"Crucial for Atlantic Highly Migratory Species Exempted Fishing Permit compliance, this system lets permit holders submit interim and annual reports and enables staff to manage permits and amendments."
extranet.gfdl.noaa.gov,Department of Commerce,NOAA,,"Scientific collaboration website for content that does not fit the defined purposes of the official external website due to the content being preliminary, technical, voluminous, frequently updated"
farallones.noaa.gov,Department of Commerce,NOAA,,"Mandated by the National Marine Sanctuaries Act to enhance public awareness, understanding and appreciation of the marine environment, this site provides vital information for the tax paying public."
ferret.pmel.noaa.gov,Department of Commerce,NOAA,,Application documentation for US research community
fieldterminal.nesdis.noaa.gov,Department of Commerce,NOAA,,"Provides resources for processing real-time polar orbiting satellite data supporting scientists, ground station operators, and meteorologists in delivering weather forecast data."
fim.noaa.gov,Department of Commerce,NOAA,,This site provides current and forecast model images for global operational and experimental models with forecasts up to 168 hours.
fisheries.noaa.gov,Department of Commerce,NOAA,,"Main portal for fishermen, businesses, scientists, lawmakers, other agencies, and the public to find rules, regulations, permits, data, and activities for all NOAA Fisheries regions and offices."
fisheriespermits.noaa.gov,Department of Commerce,NOAA,,The NOAA Fisheries Permits website provides a common portal to a variety of commercial and recreational fishing permits and consolidated trade permit issued by the National Marine Fisheries Services.
floats.pmel.noaa.gov,Department of Commerce,NOAA,,"Provides ocean temperature & salinity data from a NOAA-led array of robotic instruments & information about that array (e.g., how the data are collected and used) to the general public & scientists "
floridakeys.noaa.gov,Department of Commerce,NOAA,,"Mandated by the National Marine Sanctuaries Act to enhance public awareness, understanding and appreciation of the marine environment, this site provides vital information for the tax paying public."
flowergarden.noaa.gov,Department of Commerce,NOAA,,"Mandated by the National Marine Sanctuaries Act to enhance public awareness, understanding and appreciation of the marine environment, this site provides vital information for the tax paying public."
foss.nmfs.noaa.gov,Department of Commerce,NOAA,,"Provides access to commercial and recreational fisheries, foreign trade, and bycatch data as required by the Magnuson-Stevens and Open, Public, Electronic, and Necessary Government Data Acts."
fosterscholars.noaa.gov,Department of Commerce,NOAA,,"Website supports a scholarship program that Congress created as a way to honor Nancy Foster, Ph.D, a former assistant NOAA administrator and past director of the National Ocean Service."
geodesy.noaa.gov,Department of Commerce,NOAA,,"Website is vital for spatial reference data, infrastructure, and disaster response. Access ensures precise positioning, economic growth, and scientific innovation and minimizes barriers or delays."
geonetcastamericas.noaa.gov,Department of Commerce,NOAA,,"Geonetcast Americas is a broadcast service providing critical satellite/weather data across the Americas to users with limited network connectivity, supporting forecasters and many other communities."
gfdl.noaa.gov,Department of Commerce,NOAA,,"GFDL develops models to understand and predict all aspects of Earth systems, with research, tools, and forecasts to support public safety, scientific literacy, informed decision-making (Pub.L. 110-69)"
gis.charttools.noaa.gov,Department of Commerce,NOAA,,"Provides GIS services and tools for the ocean and coastal mapping and maritime communities (commercial mariners, USCG/Navy/USACE, boaters)"
gisc-washington.ncep.noaa.gov,Department of Commerce,NOAA,,Home page for World Meteorological Organization (WMO) Information System (WIS) version one data. More info in Q11.
glerl.noaa.gov,Department of Commerce,NOAA,,"NOAA home for Great Lakes science and data on invasive species, HABs, hypoxia, lake levels, ice cover, temperatures, etc. Critical to operations for industry and agencies including USCG, NWS, USACE."
globalocean.noaa.gov,Department of Commerce,NOAA,,"Supports Section 508 and Open Gov mandates, advancing transparency, accessibility, and public engagement. Mandated by America Competes Reauthorization 42 U.S.C. § 6681"
gml.noaa.gov,Department of Commerce,NOAA,,"In support of U.S. statutory requirements, GML's website provides data and information on physical quantities, such as greenhouse gases, ozone, radiation, and aerosols, influencing the Earth system."
gnome.orr.noaa.gov,Department of Commerce,NOAA,,"A tool used by NOAA’s disaster and pollution preparedness and response staff & community. Helps users predict the fate and transport of pollutants, particularly oil spills, in the marine environment."
goes.noaa.gov,Department of Commerce,NOAA,,"Distributes and presents near-real-time NOAA weather satellite, animations, and cloud-ready data to government, media, public, and private partners.  "
goes-r.gov,Department of Commerce,NOAA,,"The complete repisitory of GOES-R satellite series capabilities, benefits, and data to users."
goes-r.noaa.gov,Department of Commerce,NOAA,,
graphical.mdl.nws.noaa.gov,Department of Commerce,NOAA,,Graphical forecasts
graphical.weather.gov,Department of Commerce,NOAA,,A lower bandwidth version of digital.weather.gov that serves  National Digital Forecast Database (NDFD) forecast information
graphing.cbex.noaa.gov,Department of Commerce,NOAA,,"This is a graphing tool for Chesapeake Exploration website that enables interactive visualization of Chesapeake Bay environmental data, such as water temperature trends and salinity levels. "
graysreef.noaa.gov,Department of Commerce,NOAA,,"Mandated by the National Marine Sanctuaries Act to enhance public awareness, understanding and appreciation of the marine environment, this site provides vital information for the tax paying public."
greatlakes-mdc.diver.orr.noaa.gov,Department of Commerce,NOAA,,A web-based tool supporting NOAA’s disaster and pollution preparedness and response staff and user community. Provides a collaboration space for marine debris stakeholders in the Great Lakes.
gsl.noaa.gov,Department of Commerce,NOAA,,"To share vital weather research, tools, and forecasts that support public safety, scientific literacy, resilience to extreme weather, and informed decision-making nationwide."
gulfatlas.noaa.gov,Department of Commerce,NOAA,,"Gulf of America Atlas provides long term data related to the Gulf including marine and economic data used for commerce, navigation and tourism. "
gulfspillrestoration.noaa.gov,Department of Commerce,NOAA,,Site supports work completed in accordance with the Deepwater Horizon consent decree under the Oil Pollution Act and maintained by NOAA for State and Federal Deepwater Horizon oil spill Trustees. 
habitatblueprint.noaa.gov,Department of Commerce,NOAA,,"Provides information about coordinated NOAA Habitat Focus Area efforts for resources managers and partners. Includes technical guidance, project updates, and videos."
habsos.noaa.gov,Department of Commerce,NOAA,,"Provides information on harmful algal blooms, necessary for understanding public health and coastal economies."
hads.ncep.noaa.gov,Department of Commerce,NOAA,,The Hydrometeorological Automated Data System (HADS) is a real-time data acquisition and data distribution system operated by the National Weather Service Office of Dissemination.
hawaiihumpbackwhale.noaa.gov,Department of Commerce,NOAA,,"Mandated by the National Marine Sanctuaries Act to enhance public awareness, understanding and appreciation of the marine environment, this site provides vital information for the tax paying public."
hdsc.nws.noaa.gov,Department of Commerce,NOAA,,Provides precipitation frequency estimates from NWS-OWP Hydrometeorological Design Studies Center in a variety of formats with supplementary information and documentation 
heat.gov,Department of Commerce,NOAA,,"Provides tools, resources, and safety info to reduce heat risks and engages citizen scientists in U.S. heat mapping. Supports health officials, emergency responders, local governments, and the public."
hfradar.ndbc.noaa.gov,Department of Commerce,NOAA,,Provision of the National Data Bouy Center's High Frequency (HF) Radar used to remotely measure ocean surface currents.
historicalcharts.noaa.gov,Department of Commerce,NOAA,,"Provides searchable database of archived/non-current charts to historians, researchers, media, and general public via custom application at this domain; required by records retention to maintain"
hmspermits.noaa.gov,Department of Commerce,NOAA,,"Mandated for Atlantic HMS permit compliance, this system enables users to obtain/manage permits and submit catch reports, while allowing HMS admin to oversee and monitor data."
hmsworkshop.fisheries.noaa.gov,Department of Commerce,NOAA,,"Supports Atlantic HMS workshop re-certification by providing online access to shark identification and safe handling courses and exams, enabling users to obtain certificates required by regulation."
hmt.noaa.gov,Department of Commerce,NOAA,,"Dedicated OAR/NWS Hydrometeorology Testbed page; project history, timeline, activities, obs. HMT research helps communities with extreme rainfall resilience. Per Wx Research/Forecast Innov. Act"
hwt.nssl.noaa.gov,Department of Commerce,NOAA,,Critical interfaces for conducting evals & forecasting activities in HWT experiments that accelerate the transition of new severe weather prediction tools to NWS 
icams-portal.gov,Department of Commerce,NOAA,,"Audience: Federal agencies, meteorological stakeholders. Provides: Information on ICAMS coordination mechanisms (strategy, needs) ensuring US meteorological leadership. "
icoads.noaa.gov,Department of Commerce,NOAA,,"The world’s most extensive surface marine meteorological data collection. Data includes global surface temperature record, winds, pressure, humidity, clouds and estimates of air-sea exchange."
imagesite.noaa.gov,Department of Commerce,NOAA,,"Physical Sciences Laboratory internal webpage for PSL staff only viewable when on NOAA network. Policy info and guidance for day-to-day administrative, IT, facilities, and data information."
incidentnews.noaa.gov,Department of Commerce,NOAA,,A tool supporting NOAA’s disaster and pollution preparedness and response user community. Provides info on support provided to FOSCs as mandated by National Contingency Plan during spills & disasters
inport.nmfs.noaa.gov,Department of Commerce,NOAA,,"Data catalog and metadata and data management plan repository as required by the Foundations for Evidence-Based Policymaking and Open, Public, Electronic, and Necessary Government Data Acts."
inside.nssl.noaa.gov,Department of Commerce,NOAA,,This site hosts project and researcher information for forecasters and the broader community to learn how NSSL research allows NWS forecasters to issue weather warnings earlier and more precisely.
integratedecosystemassessment.noaa.gov,Department of Commerce,NOAA,,"Provides integrated analyses and tools for policymakers, scientists, and stakeholders to support ecosystem-based management of U.S. marine and coastal resources."
inws.ncep.noaa.gov,Department of Commerce,NOAA,,"This application allows NWS partners to receive National Weather Service products in new and innovative ways, such as text messaging and mobile-enabled webpages."
iocm.noaa.gov,Department of Commerce,NOAA,,"Supporting the Ocean and Coastal Mapping Integration Act, provides information and tools to reduce duplication of effort and enable cost efficiencies."
ioos.noaa.gov,Department of Commerce,NOAA,,"IOOS has one government website. It contains our statutorily mandated records, information on accessing and using our data, and detailed records and information about our observing programs."
joinnoaacorps.omao.noaa.gov,Department of Commerce,NOAA,,This site is used to collect applications for anyone interested in joining the NOAA Corps. This is the only website for this function. 
library.bldrdoc.gov,Department of Commerce,NOAA,,America COMPETES Act SEC 4002(a) and other mandates specify that NOAA “shall enhance public awareness and understanding of ocean and atmospheric science.” OAR websites are the primary tool for this.
library.noaa.gov,Department of Commerce,NOAA,,20 USC 91: Literary and scientific collections accessible to investigators and students.  Main Library website
login.diver.orr.noaa.gov,Department of Commerce,NOAA,,
m.cameochemicals.noaa.gov,Department of Commerce,NOAA,,Mobile version of CAMEO Chemicals program. Enables emergency responders and planners to quickly obtain critical response information and predict hazards on mobile devices.
madis.ncep.noaa.gov,Department of Commerce,NOAA,,"Meteorological Assimilation Data Ingest System, which collects, quality-controls, & distributes a huge variety of real-time observational data from different sources in support of forecast & research."
mag.ncep.noaa.gov,Department of Commerce,NOAA,,Model Analyses and Guidance website showcases the NWS’s observational and graphical suite of numerical model analysis and guidance.
mageval.ncep.noaa.gov,Department of Commerce,NOAA,,Serves as a platform for evaluating and visualizing numerical weather prediction (NWP) model outputs. More in Q11.
manati.star.nesdis.noaa.gov,Department of Commerce,NOAA,,A data platform used to provide operational and research satellite data for surface wind studies and products that inform US weather forecasts. 
maps.coast.noaa.gov,Department of Commerce,NOAA,,"A sharing (data partition method) site used to load large numbers of map tiles in parallel, for use within mapping applications. Only accessible to /arcgis/ URL pathways (i.e. not to the public)"
maps.coastalscience.noaa.gov,Department of Commerce,NOAA,,"Landing page. Main link redirects to coastalscience.noaa.gov.  Searchable, interactive map applications that enable users to search geographies for spatial data that coastal managers need to make informed decisions regarding fisheries and natural resources"
maps.water.noaa.gov,Department of Commerce,NOAA,,You've reached the public ArcGIS Enterprise ALB us-east-1.  GIS mapping services utilized by water.noaa.gov
marinecadastre.gov,Department of Commerce,NOAA,,Premier source for authoritative ocean geospatial data to inform planning for private sector investment in offshore industries. Joint BOEM/NOAA effort for governments and private industry.
marinedebris.noaa.gov,Department of Commerce,NOAA,,"A web-based tool supporting NOAA’s disaster and pollution preparedness and response work. A flagship Federal site with marine debris outreach, education, and resources, per the Marine Debris Act."
marinenavigation.noaa.gov,Department of Commerce,NOAA,,"Integrates Precision Marine Navigation data into one viewer for the maritime community (marine pilots, mariners, etc) to ensure safe navigation and reduce risks of collisions/groundings."
marineprotectedareas.noaa.gov,Department of Commerce,NOAA,,This website provides tools and information for federal and state marine protected area programs to ensure more efficient use of MPAs to conserve and sustain the nation's vital marine resources.
marinerhiring.noaa.gov,Department of Commerce,NOAA,,Hiring portal for NOAA professional mariners. Those positions are not posted on USAjobs and this is the only location for job postings and applications
maritimeboundaries.noaa.gov,Department of Commerce,NOAA,,"Provides authoritative information and data about the U.S. Maritime Limits and Boundaries, a national geospatial data asset"
mdmap.orr.noaa.gov,Department of Commerce,NOAA,,A web-based tool supporting NOAA’s disaster and pollution preparedness and response work. Provides public access to Marine Debris Monitoring and Assessment Project data and visualizations.
mmhsrp.nmfs.noaa.gov,Department of Commerce,NOAA,,"Based on statutory mandate, collects information on stranded and entangled marine mammals from authorized stranding network partners, used for marine mammal management, conservation, and research."
mobile.tidesandcurrents.noaa.gov,Department of Commerce,NOAA,,Mobile phone version of CO-OPS Tides And Currents PORTS text screens
monitor.noaa.gov,Department of Commerce,NOAA,,"Mandated by the National Marine Sanctuaries Act to enhance public awareness, understanding and appreciation of the marine environment, this site provides vital information for the tax paying public."
montereybay.noaa.gov,Department of Commerce,NOAA,,"Mandated by the National Marine Sanctuaries Act to enhance public awareness, understanding and appreciation of the marine environment, this site provides vital information for the tax paying public."
mping.nssl.noaa.gov,Department of Commerce,NOAA,,Overview of mPING Citizen Science project jointly directed by NSSL and OU. mPING observations are used in long-term weather research and operationally by NWS. Over 4.6 million reports are collected.
mrms.nssl.noaa.gov,Department of Commerce,NOAA,,"MRMS is an operational national radar mosaic used by the public, NWS, and private enterprise for real-time weather decision making. This site hosts project information and a public MRMS data viewer."
nacc.arl.noaa.gov,Department of Commerce,NOAA,,"Timed out multiple times.  Offers streamlined access to near-real-time GFS forecasts NACC processed to generate the model-ready, meteorological input for any CMAQ domain and air quality application worldwide."
nauticalcharts.noaa.gov,Department of Commerce,NOAA,,"Main homepage for real-time and historical nautical chart data critical to navigation, safety, and maritime commerce (commercial mariners, USCG/Navy/USACE, rec boaters)"
ncc.nesdis.noaa.gov,Department of Commerce,NOAA,,"Access to information on satellite calibration and validation, which reduces measurement uncertainties necessary for weather forecasting. "
ncei.noaa.gov,Department of Commerce,NOAA,,"Provides environmental data, products, and services that help decision-makers address challenges in agriculture, transportation, retail, energy, finance, health, tourism, and infrastructure sectors."
nco.ncep.noaa.gov,Department of Commerce,NOAA,,Home page for NCEP Central Operations used for tech status display and office information. More in Q11.
ncrmp.coralreef.noaa.gov,Department of Commerce,NOAA,,"This is a GIS tool that allows a user to see where and when data were collected, visualize trends, and download summarized data as required by the Coral Reef Conservation Act of 2000 16 U.S.C. § 6402"
nctr.pmel.noaa.gov,Department of Commerce,NOAA,,"NCTR’s website provides publicly available research and findings, to improve tsunami awareness and foster the development of resilient communities (33 USC §3205, §3208)."
